weekid,method,spot,districtid1,districtid2,districtid3,districtid4,districtid5
1,neighborhood,hot,289,140,297,355,559
1,neighborhood,cold,312,422,715,279,724
1,state,hot,-,-,-,-,-
1,state,cold,-,-,-,-,-
2,neighborhood,hot,132,171,289,105,407
2,neighborhood,cold,312,422,715,208,279
2,state,hot,-,-,-,-,-
2,state,cold,-,-,-,-,-
3,neighborhood,hot,132,469,171,289,140
3,neighborhood,cold,270,647,110,227,259
3,state,hot,-,-,-,-,-
3,state,cold,-,-,-,-,-
4,neighborhood,hot,289,586,105,140,297
4,neighborhood,cold,270,647,110,227,259
4,state,hot,-,-,-,-,-
4,state,cold,-,-,-,-,-
5,neighborhood,hot,289,105,140,297,355
5,neighborhood,cold,270,647,110,227,259
5,state,hot,-,-,-,-,-
5,state,cold,-,-,-,-,-
6,neighborhood,hot,289,105,407,446,528
6,neighborhood,cold,270,647,312,422,715
6,state,hot,-,-,-,-,-
6,state,cold,-,-,-,-,-
7,neighborhood,hot,215,244,103,335,378
7,neighborhood,cold,548,150,430,523,200
7,state,hot,215,103,574,483,334
7,state,cold,108,275,420,533,673
8,neighborhood,hot,658,250,132,103,210
8,neighborhood,cold,550,548,636,131,472
8,state,hot,250,103,294,215,483
8,state,cold,586,127,298,308,349
9,neighborhood,hot,103,186,244,335,658
9,neighborhood,cold,293,430,175,336,328
9,state,hot,215,103,250,483,334
9,state,cold,456,616,636,127,298
10,neighborhood,hot,186,103,244,658,132
10,neighborhood,cold,399,381,646,245,325
10,state,hot,215,103,483,495,334
10,state,cold,381,127,403,616,399
11,neighborhood,hot,103,132,186,215,658
11,neighborhood,cold,381,646,233,203,616
11,state,hot,215,103,483,314,334
11,state,cold,203,616,349,404,691
12,neighborhood,hot,658,186,132,103,215
12,neighborhood,cold,441,358,139,381,496
12,state,hot,215,212,105,103,314
12,state,cold,650,712,544,333,708
13,neighborhood,hot,103,658,335,186,215
13,neighborhood,cold,549,481,456,194,430
13,state,hot,215,548,103,632,212
13,state,cold,650,434,544,349,333
14,neighborhood,hot,103,215,186,244,119
14,neighborhood,cold,456,381,673,301,700
14,state,hot,215,548,103,411,186
14,state,cold,262,333,712,409,185
15,neighborhood,hot,173,103,244,658,215
15,neighborhood,cold,127,691,456,670,101
15,state,hot,215,173,548,105,297
15,state,cold,262,691,650,712,709
16,neighborhood,hot,173,132,103,186,244
16,neighborhood,cold,646,691,203,338,399
16,state,hot,548,173,215,294,528
16,state,cold,262,691,650,712,709
17,neighborhood,hot,173,132,186,244,658
17,neighborhood,cold,691,456,614,213,532
17,state,hot,272,173,215,294,528
17,state,cold,262,709,587,544,691
18,neighborhood,hot,173,132,186,334,658
18,neighborhood,cold,646,399,456,213,663
18,state,hot,173,528,272,548,640
18,state,cold,262,691,708,399,646
19,neighborhood,hot,132,658,272,173,448
19,neighborhood,cold,692,646,691,456,369
19,state,hot,272,528,173,548,105
19,state,cold,262,691,712,544,709
20,neighborhood,hot,132,215,173,658,448
20,neighborhood,cold,426,548,527,646,233
20,state,hot,105,548,173,536,562
20,state,cold,262,709,422,544,691
21,neighborhood,hot,173,132,448,658,186
21,neighborhood,cold,125,616,238,116,381
21,state,hot,173,548,259,562,536
21,state,cold,262,432,401,544,422
22,neighborhood,hot,132,173,448,378,658
22,neighborhood,cold,616,622,238,381,515
22,state,hot,173,548,562,448,536
22,state,cold,262,432,422,401,213
23,neighborhood,hot,132,173,721,658,244
23,neighborhood,cold,691,456,527,616,381
23,state,hot,173,548,721,562,215
23,state,cold,422,262,515,213,361
24,neighborhood,hot,173,132,670,658,244
24,neighborhood,cold,381,359,456,618,365
24,state,hot,548,407,173,562,721
24,state,cold,422,213,712,333,515
25,neighborhood,hot,721,173,132,658,346
25,neighborhood,cold,381,545,245,385,456
25,state,hot,548,721,173,562,448
25,state,cold,262,422,333,213,432
